policy_deductable,policy_annual_premium,capital-gains,capital-loss,incident_hour_of_the_day,number_of_vehicles_involved,bodily_injuries,witnesses,vehicle_claim,customer,Customer_age_group,have_umbrella_limit,policy_csl,insured_sex,insured_education_level,incident_severity,property_damage,police_report_available,fraud_reported,insured_occupation_armed-forces,insured_occupation_craft-repair,insured_occupation_exec-managerial,insured_occupation_farming-fishing,insured_occupation_handlers-cleaners,insured_occupation_machine-op-inspct,insured_occupation_other-service,insured_occupation_priv-house-serv,insured_occupation_prof-specialty,insured_occupation_protective-serv,insured_occupation_sales,insured_occupation_tech-support,insured_occupation_transport-moving,insured_relationship_not-in-family,insured_relationship_other-relative,insured_relationship_own-child,insured_relationship_unmarried,insured_relationship_wife,incident_type_Parked Car,incident_type_Single Vehicle Collision,incident_type_Vehicle Theft,collision_type_Rear Collision,collision_type_Side Collision,authorities_contacted_Fire,authorities_contacted_None,authorities_contacted_Other,authorities_contacted_Police
2000,1137.16,0,-51000,21,3,1,2,79560,0,0,1,1.0,0,2,3,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
500,1215.36,0,0,9,1,1,0,42390,0,1,0,5.0,1,6,4,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0
1000,936.61,52800,-32800,5,1,1,1,5040,0,0,1,1.0,0,6,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0
2000,1301.13,41300,-55500,12,1,0,2,33600,0,0,1,2.5,0,3,4,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1
2000,1131.4,55700,0,12,4,0,0,42080,0,0,1,1.0,0,6,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0
1000,1199.44,63600,0,0,3,1,2,40530,0,1,0,5.0,1,3,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
500,708.64,53500,0,9,1,0,2,56640,0,0,0,5.0,1,2,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1
500,1374.22,45500,-37800,19,1,1,0,53040,0,0,1,5.0,0,6,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0
2000,1475.73,57000,-27300,8,3,2,0,48320,0,0,1,5.0,0,2,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
1000,1187.96,0,0,20,3,1,0,41920,0,0,0,2.5,1,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
2000,875.15,46700,0,15,3,1,2,33110,0,0,1,5.0,0,5,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
2000,972.18,72700,-68200,20,3,0,0,47680,0,0,1,1.0,1,2,3,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
2000,1268.79,0,-31000,15,1,2,2,73620,0,0,1,1.0,1,6,4,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
1000,883.31,0,-53500,6,1,1,3,56640,0,0,1,1.0,1,3,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
2000,1266.92,0,0,16,3,1,3,44000,1,0,1,1.0,1,4,3,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
2000,1322.1,0,-29200,4,1,1,3,6560,0,0,1,1.0,1,2,2,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1
500,848.07,31000,-30200,5,1,2,1,4160,0,0,0,1.0,1,1,2,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0
2000,1291.7,0,-55600,21,1,1,0,46560,0,0,1,1.0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0
2000,1104.5,0,0,5,1,2,2,63450,0,0,1,5.0,0,7,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1
1000,954.16,53200,0,22,4,0,0,50400,0,1,1,2.5,1,4,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2000,1337.28,27500,0,10,3,2,2,52220,0,0,0,1.0,1,1,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1000,1088.34,81100,0,16,3,2,3,23170,0,0,1,5.0,0,5,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
1000,1558.29,51400,-64000,1,3,1,2,49070,0,1,1,1.0,1,2,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
500,1415.68,0,0,17,1,0,1,48600,0,0,1,5.0,1,7,4,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0
1000,1334.15,53300,-49200,15,1,2,0,37170,0,0,0,1.0,1,2,3,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
1000,988.45,0,0,3,1,1,1,48160,0,1,1,1.0,0,4,4,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1
2000,1222.48,0,0,16,1,1,1,3280,0,0,1,5.0,0,1,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0
2000,1155.55,65700,0,4,3,2,0,43610,0,0,1,5.0,0,6,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
500,1262.08,48500,0,4,1,0,3,38290,0,0,1,2.5,1,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
500,1451.62,0,-55700,19,1,2,2,28000,0,1,1,1.0,1,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
500,1737.66,0,-24100,1,1,1,1,64720,0,0,1,2.5,1,5,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1
500,1475.93,0,-67400,17,3,1,0,40180,0,1,1,5.0,0,3,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
500,538.17,49700,-60200,23,1,2,2,39760,0,1,1,2.5,0,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0
2000,1081.08,36400,-28700,14,1,0,2,33840,0,0,1,1.0,1,1,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
1000,1454.43,0,0,17,3,2,3,48230,0,0,1,2.5,0,6,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
500,1240.47,35300,0,11,3,1,1,63090,0,0,1,1.0,0,5,4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
2000,1273.7,0,0,19,3,2,1,50240,0,0,0,5.0,1,3,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1000,1123.87,0,0,5,1,2,0,5670,0,0,0,5.0,0,7,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1
1000,1245.89,0,-40300,19,1,0,0,53620,0,0,1,1.0,0,4,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0
2000,1326.62,0,0,19,3,0,3,57260,0,0,0,2.5,1,6,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
2000,1073.83,0,0,4,1,1,2,5280,0,1,1,1.0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
1000,1530.52,0,0,8,1,2,1,3440,0,0,1,1.0,1,3,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0
500,1201.41,88400,-46500,7,3,1,0,44870,0,0,1,1.0,0,1,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1000,1393.57,47600,-39600,5,1,0,1,1680,0,0,1,2.5,1,7,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1
1000,1276.57,71500,0,3,1,1,2,55230,1,1,1,1.0,1,7,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0
500,1082.49,36100,-55000,12,3,2,3,50160,0,0,1,2.5,0,7,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
1000,1414.74,0,0,19,1,1,3,1800,0,0,1,5.0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0
2000,1470.06,56600,-45800,22,1,0,1,51170,1,0,1,2.5,1,7,4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2000,870.63,94800,-58500,12,3,1,1,45760,0,0,1,2.5,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
500,795.23,36900,0,15,3,2,1,54040,0,0,1,1.0,1,7,3,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
1000,1168.2,69100,0,23,3,0,3,33210,0,0,1,5.0,1,1,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
1000,993.51,0,-49500,12,1,0,3,39410,0,0,1,5.0,1,2,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0
500,1848.81,0,-49000,20,3,2,2,51390,0,0,1,5.0,1,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
2000,1641.73,62400,0,16,3,0,0,45990,0,0,0,2.5,1,7,4,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
500,1362.87,35700,0,6,3,2,2,61740,0,0,1,1.0,0,6,2,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
500,1239.22,43400,-91200,12,1,0,1,62100,0,0,0,2.5,0,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0
500,835.02,59600,0,17,3,1,1,30160,0,0,1,2.5,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0
1000,1061.33,43300,-66200,8,1,0,3,49840,0,1,1,1.0,1,6,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
1000,1279.08,0,-51500,13,1,0,1,2580,0,0,1,5.0,1,6,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0
500,1105.49,56200,-50000,12,2,2,3,49680,0,0,1,1.0,0,5,3,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
2000,1055.53,37800,-50300,7,1,0,2,47670,0,0,1,1.0,0,6,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
1000,895.83,0,0,10,1,1,2,27090,0,0,1,2.5,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
500,1632.93,0,-42900,7,3,2,0,42840,0,0,1,1.0,0,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0
1000,1405.99,0,0,18,3,1,0,28620,0,0,1,1.0,0,5,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
1000,1425.54,78300,0,22,3,2,0,34140,0,0,1,1.0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1000,1038.09,0,-19700,18,3,1,1,67050,0,0,1,5.0,0,3,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
500,1307.11,0,0,22,3,0,2,38010,0,0,1,2.5,1,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1000,1489.24,0,-45000,15,1,2,2,5580,0,0,0,5.0,0,1,2,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0
500,976.67,0,0,16,1,1,2,50540,0,0,1,5.0,0,7,3,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0
2000,1340.43,52700,-40600,6,3,1,2,30480,0,0,1,2.5,1,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2000,1267.81,0,0,10,1,2,1,4620,0,0,0,5.0,0,4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0
1000,1234.2,0,0,3,1,2,2,5250,0,1,0,2.5,1,4,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1
2000,1318.06,57300,-80600,13,1,0,3,4130,0,0,1,2.5,1,2,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0
2000,769.95,0,-44200,16,2,2,3,44320,0,0,1,5.0,1,4,3,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
2000,1514.72,35700,0,13,3,0,1,40810,0,0,1,1.0,1,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
1000,873.64,800,0,9,3,2,1,45600,0,0,0,5.0,0,5,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
500,1612.43,36400,0,2,1,2,1,40880,0,0,1,5.0,0,6,4,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0
2000,1318.24,0,-78600,9,1,0,1,3290,0,0,0,5.0,0,3,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0
1000,1226.83,0,-56100,12,3,2,0,39480,0,1,1,1.0,0,3,3,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
2000,1326.44,0,0,12,2,1,1,46350,0,1,0,2.5,0,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
2000,1136.83,0,-62400,14,1,0,3,71520,0,1,0,2.5,0,5,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1
2000,1322.78,55200,0,9,1,0,1,4720,0,0,1,2.5,1,7,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0
1000,1483.25,90700,-20800,3,3,1,1,53010,0,0,1,1.0,0,6,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
500,1515.3,0,0,21,3,1,0,68160,0,0,1,1.0,0,2,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2000,1075.18,67700,-58400,5,1,2,0,5040,0,1,0,1.0,0,7,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
1000,1690.27,61500,0,11,1,0,3,59670,0,0,1,5.0,0,5,3,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0
2000,1352.83,0,-71700,4,4,1,2,50470,0,1,1,2.5,1,4,2,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
1000,1148.73,0,0,6,1,1,2,3600,0,0,1,2.5,0,3,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0
1000,969.5,0,0,10,1,0,0,4200,0,0,1,1.0,1,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0
500,1463.82,0,-72300,23,1,0,0,47580,0,0,1,1.0,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1
1000,1474.17,0,0,13,1,1,0,36960,0,1,1,1.0,0,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1
500,1497.35,37300,-31700,16,3,2,3,25200,0,0,1,2.5,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1000,1427.14,35300,-58100,3,1,1,1,2310,0,0,1,1.0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1
500,1495.1,50500,0,15,3,0,0,70110,0,0,1,5.0,1,3,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
500,1141.62,34300,-24300,4,1,1,3,3360,0,0,1,1.0,1,3,2,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
1000,1125.37,0,-56400,6,3,0,2,53200,0,0,1,5.0,0,5,3,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
2000,1207.36,0,-57000,22,2,1,0,51940,0,1,1,5.0,0,2,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2000,1338.5,28800,0,1,1,0,0,48870,0,0,1,5.0,0,7,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
1000,1074.07,0,-47500,16,3,0,3,44320,0,0,1,5.0,0,4,3,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
500,1337.56,0,0,18,1,1,2,52290,0,0,1,2.5,0,3,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1
500,1298.91,52600,-38800,0,1,0,0,49000,0,0,0,1.0,1,7,3,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
500,1222.75,0,-41000,12,3,2,0,51590,0,0,1,5.0,1,2,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
1000,1059.52,0,-40600,13,2,1,1,33670,0,0,1,1.0,1,6,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
2000,1124.38,0,0,9,1,1,1,4720,0,0,1,2.5,1,5,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0
1000,1110.37,34400,-56800,14,3,0,1,33390,0,0,0,1.0,1,6,4,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
2000,1374.22,62000,-63100,16,1,0,3,32620,0,0,1,5.0,0,7,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1
2000,1103.58,41200,-36200,20,3,2,2,51200,0,0,1,5.0,1,2,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
2000,1269.76,44300,0,4,1,1,3,63000,0,0,1,2.5,0,7,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0
500,964.79,58000,0,7,3,0,1,52960,0,0,0,2.5,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
2000,1167.3,0,0,22,1,2,0,41580,0,0,0,5.0,1,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0
500,1625.45,0,-53700,11,1,2,1,51040,0,0,0,5.0,0,6,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
500,1394.43,0,0,7,1,0,1,49280,0,0,1,2.5,0,4,3,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
2000,1053.24,51100,0,0,4,1,0,51420,1,1,1,2.5,0,3,4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
500,1040.75,0,0,1,1,1,1,28000,0,0,1,1.0,0,1,4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
1000,1302.4,47200,-69700,12,3,2,3,23100,0,0,0,2.5,1,1,4,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
2000,1588.55,59600,-32100,8,1,0,0,28800,0,0,1,1.0,1,6,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0
500,1399.26,70500,0,9,1,2,0,2970,0,0,1,5.0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1
2000,1352.31,40700,-47300,22,1,0,3,42560,0,0,1,1.0,1,3,3,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
1000,1139.0,42400,0,0,3,1,2,34790,0,1,0,2.5,0,4,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
